artista_id,nombre,genero,pais,anio_debut,fecha_registro
1,Benjamin Perez Diaz,Rock,AR,2007,2021-05-16
2,Amparo Paez Rodriguez,Jazz,BR,1996,2023-10-17
3,Martina Gomez,Rock,ES,2017,2020-03-06
4,Juan Bautista Martina Diaz,Pop,AR,2003,2021-04-21
5,Dr(a). Delfina Nuñez,Pop,ES,2002,2023-08-23
6,Alejo Fernandez Flores,Cumbia,BR,2018,2023-04-21
7,Felipe Maximiliano Romero Gomez,Electronica,CL,1990,2020-11-22
8,Benicio Romero Perez,Cumbia,US,2007,2020-11-14
9,Sebastian Rojas Valdez,Jazz,CL,2011,2020-07-28
10,Bautista Garcia,Rock,MX,1996,2022-01-05
11,Dr(a). Dante Vega,Hip-Hop,ES,2006,2020-03-29
12,Antonella Ramos Velazquez,Folk,ES,1997,2022-02-14
13,Mateo Ezequiel Olivia Acosta,Rock,ES,2008,2023-07-11
14,Mateo Benicio Carrizo Quiroga,Hip-Hop,ES,2002,2023-12-13
15,Tomas Lopez Ojeda,Rock,AR,2004,2021-08-15
16,Malena Victoria Blanco,Rock,CL,2004,2020-07-25
17,Sr(a). Ramiro Mansilla,Cumbia,US,2019,2023-07-25
18,Francisco Gonzalez Sanchez,Hip-Hop,BR,2013,2021-12-28
19,Bautista Ian Ezequiel Ortiz Vera,Jazz,CO,2007,2023-12-08
20,Ambar Camila Avila,Rock,ES,2000,2022-12-29
21,Felipe Fernandez,Jazz,BR,2019,2022-02-16
22,Dr(a). Thiago Valentin Flores,Electronica,CO,2004,2023-11-03
23,Dr(a). Guadalupe Franco,Hip-Hop,CL,1993,2021-04-14
24,Bianca Catalina Gonzalez,Pop,CL,2010,2022-04-01
25,Felipe Fernandez Peralta,Electronica,AR,2003,2023-03-07
26,Sr(a). Olivia Luna,Hip-Hop,BR,2021,2022-03-21
27,Julia Valdez,Folk,BR,2006,2020-10-12
28,Thiago Ezequiel Gomez Cruz,Jazz,CO,2006,2023-04-12
29,Camilo Alma Garcia Fernandez,Cumbia,ES,2015,2022-01-11
30,Benjamin Alejandro Hernandez Perez,Jazz,BR,2022,2022-10-07
31,Sr(a). Bianca Gomez,Rock,CL,1993,2020-08-12
32,Maite Bianca Diaz Torres,Reggaeton,CO,2000,2023-10-25
33,Juan Pablo Santiago Benjamin Pereyra,Cumbia,ES,1994,2022-02-27
34,Matias Suarez Gomez,Cumbia,ES,2019,2022-12-19
35,Emiliano Ludmila Sanchez Rodriguez,Electronica,ES,1990,2023-10-25
36,Sr(a). Catalina Suarez,Rock,CO,2007,2023-08-05
37,Ema Rojas Gomez,Hip-Hop,AR,2008,2022-06-09
38,Abigail Lopez,Reggaeton,MX,1990,2021-06-23
39,Dr(a). Ciro Benjamin Soria,Reggaeton,ES,1996,2023-07-04
40,Luz Milagros Camila Carrizo,Electronica,CL,2022,2023-06-01
41,Simon Agustina Gomez Martinez,Jazz,BR,2013,2020-11-26
42,Benjamin Nicolas Nuñez Gonzalez,Pop,ES,2010,2022-09-27
43,Francisco Barrios Mendez,Pop,AR,2013,2021-09-21
44,Agustina Garcia Suarez,Jazz,AR,2005,2023-03-07
45,Sr(a). Lisandro Cruz,Rock,AR,2021,2020-05-21
46,Dr(a). Emma Herrera,Reggaeton,BR,2020,2023-01-30
47,Santiago Gomez,Reggaeton,US,2023,2023-05-27
48,Benicio Ramirez,Cumbia,BR,2002,2023-12-31
49,Felicitas Velazquez Gomez,Electronica,MX,2013,2022-06-16
50,Sebastian Figueroa,Folk,AR,2005,2021-04-05
51,Valentina Lopez Acosta,Rock,US,1991,2023-04-19
52,Joaquin Medina,Jazz,ES,2004,2020-01-15
53,Simon Guzman Molina,Rock,CO,1993,2021-04-13
54,Jeremias Rojas Gonzalez,Rock,AR,2011,2020-05-25
55,Gabriel Farias Lopez,Jazz,US,2021,2021-03-14
56,Jazmin Guzman,Reggaeton,CO,2020,2021-05-12
57,Mateo Gonzalez Alvarez,Folk,CL,2016,2021-01-24
58,Emilia Quiroga,Rock,AR,2017,2021-12-26
59,Dr(a). Felipe Garcia,Cumbia,MX,2019,2020-04-20
60,Clara Molina Cardozo,Rock,AR,2015,2021-11-25
61,Isabella Herrera Ayala,Rock,BR,2002,2021-01-24
62,Sr(a). Isabella Gimenez,Folk,BR,2017,2021-01-10
63,Bautista Bautista Guzman,Electronica,MX,2005,2020-06-03
64,Juan Ignacio Paez,Folk,CL,1996,2020-04-13
65,Clara Martina Rodriguez,Pop,AR,2005,2020-12-06
66,Dr(a). Lucas Benjamin Diaz,Cumbia,MX,2020,2021-03-13
67,Emma Camila Carrizo Garcia,Cumbia,AR,2000,2022-02-15
68,Alexander Santiago Nicolas Gonzalez Rios,Pop,MX,2006,2022-07-20
69,Sr(a). Bautista Diaz,Electronica,MX,2021,2020-11-13
70,Valentino Lautaro Rodriguez Martinez,Jazz,US,2003,2020-04-29
71,Mateo Zoe Jazmin Quiroga Cabrera,Pop,CO,2010,2020-04-27
72,Sr(a). Valentina  Castro,Pop,ES,2020,2022-10-26
73,Luisana Fernandez Gomez,Reggaeton,AR,2022,2020-06-13
74,Maria Emilia Fernandez Garcia,Reggaeton,AR,1994,2023-10-14
75,Lucio Sofia Godoy,Jazz,MX,1997,2023-03-12
76,Juan Bautista Valentina Bustos Rodriguez,Jazz,ES,1992,2023-06-22
77,Milena Gonzalez,Rock,MX,2023,2021-10-09
78,Milo Luca Perez Villalba,Electronica,BR,2010,2021-05-03
79,Dr(a). Lucas Gomez,Electronica,MX,1998,2023-10-07
80,Manuel Miguel Angel Nuñez,Electronica,MX,2010,2020-05-28
81,Pedro Martina Torres,Pop,MX,1996,2020-05-30
82,Tiziano Valentin Diaz Martinez,Jazz,ES,2006,2020-09-28
83,Benicio Castro Hernandez,Hip-Hop,AR,2005,2022-01-26
84,Sr(a). Gabriel Martinez,Electronica,BR,2018,2023-01-17
85,Candelaria Nina Lucero,Electronica,ES,2023,2020-01-17
86,Joaquin Blanco Vargas,Electronica,CO,1996,2020-10-02
87,Benjamin Ezequiel Guzman,Electronica,AR,1996,2023-02-07
88,Thiago Benjamin Maia Gomez,Reggaeton,US,2008,2023-05-23
89,Alma Mia Diaz Maldonado,Jazz,CO,2011,2021-02-20
