stream_id,fecha,cancion_id,plataforma_id,pais_usuario,reproducciones,ingresos_usd
1,2025-08-03,192,2,US,48098,48.1
2,2025-04-24,282,4,ES,36441,437.29
3,2024-06-13,71,2,MX,19477,19.48
4,2024-09-26,555,2,AR,41913,41.91
5,2025-06-02,389,3,AR,40714,285.0
6,2025-01-07,795,3,US,47351,331.46
7,2024-03-05,675,5,CL,25494,127.47
8,2024-07-13,537,3,CL,36240,253.68
9,2024-06-06,628,1,MX,42102,168.41
10,2024-11-25,114,1,CO,4469,17.88
11,2024-02-14,856,5,BR,2149,10.75
12,2024-07-25,110,2,AR,2185,2.19
13,2025-08-07,658,4,CO,32206,386.47
14,2025-06-22,639,3,US,3316,23.21
15,2025-01-10,227,3,AR,957,6.7
16,2024-08-01,672,2,CL,5340,5.34
17,2025-04-24,821,3,US,36670,256.69
18,2026-01-31,961,5,CL,24287,121.44
19,2026-03-24,726,1,ES,17520,70.08
20,2025-06-25,42,3,CL,20016,140.11
21,2024-03-20,968,1,ES,6464,25.86
22,2024-04-13,743,1,MX,12516,50.06
23,2024-07-16,539,3,ES,41081,287.57
24,2024-07-02,572,3,MX,48996,342.97
25,2024-04-18,785,3,US,44303,310.12
26,2025-04-14,720,3,AR,11032,77.22
27,2026-03-22,185,2,ES,22219,22.22
28,2025-11-04,162,2,ES,29133,29.13
29,2024-12-26,925,1,US,24461,97.84
30,2025-02-26,783,3,CL,47670,333.69
31,2024-11-27,624,1,ES,14119,56.48
32,2025-01-19,785,2,CO,16751,16.75
33,2025-01-03,985,2,MX,112,0.11
34,2026-01-13,36,5,ES,1168,5.84
35,2025-06-14,139,5,US,530,2.65
36,2024-11-03,228,1,US,1522,6.09
37,2026-03-01,842,5,CL,18185,90.92
38,2025-07-20,524,2,ES,10239,10.24
39,2024-04-06,39,2,BR,9170,9.17
40,2024-09-28,376,5,BR,15369,76.84
41,2024-09-19,831,1,ES,26301,105.2
42,2025-08-05,940,1,AR,47520,190.08
43,2024-11-28,812,2,MX,45293,45.29
44,2025-12-20,591,4,AR,39109,469.31
45,2025-10-19,308,1,CL,37867,151.47
46,2025-01-25,81,4,CL,22014,264.17
47,2024-12-22,901,4,MX,7999,95.99
48,2026-02-27,233,3,CL,39572,277.0
49,2024-01-12,650,4,MX,3647,43.76
50,2024-11-08,537,1,ES,37122,148.49
51,2024-06-02,335,2,BR,10139,10.14
52,2024-02-21,690,3,MX,29303,205.12
53,2026-02-09,610,2,AR,14654,14.65
54,2025-03-18,297,4,BR,8763,105.16
55,2024-12-10,85,2,CO,3331,3.33
56,2025-07-15,409,1,MX,32987,131.95
57,2025-03-20,793,3,CL,8938,62.57
58,2025-05-07,573,1,MX,42845,171.38
59,2025-08-08,201,2,CO,34457,34.46
60,2024-09-09,249,1,CL,28284,113.14
61,2024-11-27,702,5,AR,7474,37.37
62,2025-11-18,424,2,US,12583,12.58
63,2024-11-24,353,2,AR,20076,20.08
64,2024-06-22,359,3,CL,29080,203.56
65,2025-09-30,150,2,CL,15401,15.4
66,2024-07-23,702,2,CL,47842,47.84
67,2024-03-28,116,3,BR,40798,285.59
68,2024-05-31,890,4,US,1000,12.0
69,2024-12-17,711,4,US,29595,355.14
70,2025-04-27,24,1,CO,35358,141.43
71,2024-08-04,209,2,CL,17051,17.05
72,2025-07-15,495,3,BR,45652,319.56
73,2025-12-16,685,1,ES,43584,174.34
74,2025-06-23,45,1,AR,18713,74.85
75,2024-07-24,809,3,US,3578,25.05
76,2025-04-21,671,5,AR,25570,127.85
77,2025-11-07,278,3,CO,23707,165.95
78,2024-04-20,20,1,CO,25431,101.72
79,2024-08-24,390,2,CO,6627,6.63
80,2024-11-19,497,4,ES,5868,70.42
81,2024-07-09,204,2,MX,36845,36.84
82,2025-12-30,23,1,ES,20083,80.33
83,2024-12-07,502,2,BR,1304,1.3
84,2024-12-21,701,2,CO,19913,19.91
85,2024-08-29,514,1,AR,41111,164.44
86,2024-09-20,900,2,CL,2031,2.03
87,2025-07-22,972,1,BR,22499,90.0
88,2025-02-06,673,1,CO,25148,100.59
89,2025-06-17,984,3,CL,41094,287.66
90,2025-12-03,233,2,ES,10110,10.11
91,2025-03-12,994,1,ES,21680,86.72
92,2025-04-04,556,1,CO,9181,36.72
93,2025-08-17,555,3,BR,9151,64.06
94,2024-11-12,706,3,ES,8963,62.74
95,2025-03-16,931,5,BR,43106,215.53
96,2025-08-01,940,1,AR,36625,146.5
97,2025-06-29,972,3,BR,20914,146.4
98,2024-05-29,745,1,US,27234,108.94
99,2025-02-25,311,2,CL,41836,41.84
100,2026-01-26,281,1,BR,7097,28.39
101,2024-05-14,190,1,ES,40532,162.13
102,2024-09-30,621,2,BR,39183,39.18
103,2024-08-25,237,3,US,5308,37.16
104,2025-12-05,799,2,ES,39730,39.73
105,2025-04-25,730,3,BR,25492,178.44
106,2025-05-18,486,1,BR,14929,59.72
107,2024-02-03,419,4,AR,17785,213.42
108,2025-02-26,228,3,BR,49761,348.33
109,2024-07-28,68,1,MX,40539,162.16
110,2025-05-16,705,1,MX,16273,65.09
111,2025-03-13,415,4,ES,48290,579.48
112,2025-01-24,738,1,ES,48758,195.03
113,2025-08-08,609,2,CO,46244,46.24
114,2026-03-16,40,2,MX,30043,30.04
115,2024-02-13,899,5,ES,35349,176.75
116,2025-02-09,753,1,MX,33924,135.7
117,2026-02-22,646,5,BR,19182,95.91
118,2025-03-26,408,5,CL,18837,94.19
119,2025-04-17,171,2,ES,3674,3.67
120,2025-12-07,530,5,MX,42442,212.21
121,2025-04-07,93,3,AR,11881,83.17
122,2026-03-08,600,5,CO,35909,179.55
123,2024-05-18,403,2,MX,1732,1.73
124,2024-07-02,465,2,CO,13333,13.33
125,2025-04-10,93,1,CO,42605,170.42
126,2025-12-29,816,1,CO,8196,32.78
127,2024-04-03,117,3,CO,23885,167.19
128,2024-03-28,537,3,CO,33632,235.42
129,2025-09-18,973,1,ES,25043,100.17
130,2024-02-14,787,1,US,37160,148.64
131,2025-11-06,884,1,CL,9576,38.3
132,2024-07-02,788,3,MX,20289,142.02
133,2024-11-12,748,4,MX,19025,228.3
134,2025-10-03,186,1,BR,13394,53.58
135,2024-01-04,638,4,AR,30157,361.88
136,2025-05-24,876,2,CL,476,0.48
137,2025-09-14,904,2,BR,38691,38.69
138,2025-11-06,488,2,MX,5303,5.3
139,2025-09-07,615,1,ES,18326,73.3
140,2025-09-26,644,2,CL,13707,13.71
141,2024-02-20,190,1,CO,22973,91.89
142,2024-02-07,149,4,CO,37985,455.82
143,2025-09-09,306,1,AR,3313,13.25
144,2024-04-21,427,5,BR,44146,220.73
145,2024-10-18,626,3,CO,39091,273.64
146,2025-08-09,807,2,MX,49208,49.21
147,2025-08-15,369,5,AR,19714,98.57
148,2024-11-26,378,5,CL,4534,22.67
149,2026-02-15,438,4,AR,19291,231.49
150,2025-04-27,138,1,CL,18084,72.34
151,2024-12-03,540,2,BR,45701,45.7
152,2024-08-02,627,1,ES,47923,191.69
153,2025-10-06,542,5,MX,47552,237.76
154,2025-12-06,620,5,CO,18921,94.61
155,2025-03-13,624,4,US,34532,414.38
156,2025-08-11,639,2,BR,40358,40.36
157,2025-07-30,509,2,CO,32719,32.72
158,2025-05-19,828,1,ES,15351,61.4
159,2025-12-26,298,5,AR,7846,39.23
160,2024-01-25,477,3,AR,48430,339.01
161,2024-07-31,819,3,MX,27234,190.64
162,2024-02-16,342,1,CL,41879,167.52
163,2024-08-05,12,3,CO,18556,129.89
164,2024-09-17,810,1,US,33306,133.22
165,2025-07-17,332,4,AR,45046,540.55
166,2024-12-07,350,2,ES,40469,40.47
167,2024-01-30,853,1,US,22247,88.99
168,2025-11-19,491,5,CL,2430,12.15
169,2025-10-23,140,2,CO,30287,30.29
170,2025-07-03,918,1,CL,27228,108.91
171,2026-01-30,58,4,US,37124,445.49
172,2026-01-12,695,1,ES,1326,5.3
173,2024-08-01,592,3,CL,23273,162.91
174,2024-03-08,993,1,CL,2142,8.57
175,2024-12-13,385,3,CL,10976,76.83
176,2025-08-07,621,2,ES,7757,7.76
177,2026-03-12,770,1,CL,20711,82.84
178,2025-12-27,33,1,AR,32674,130.7
179,2024-08-31,381,2,US,14264,14.26
180,2025-06-21,310,1,US,2550,10.2
181,2026-03-07,207,5,MX,33260,166.3
182,2024-01-26,819,2,ES,10197,10.2
183,2024-07-13,349,5,CO,34416,172.08
184,2024-11-13,795,1,CL,6539,26.16
185,2025-06-12,693,5,BR,47585,237.93
186,2024-02-07,471,2,CL,34332,34.33
187,2024-04-28,5,1,AR,45126,180.5
188,2025-08-31,893,1,MX,3123,12.49
189,2024-04-15,534,4,CO,20578,246.94
190,2024-01-24,592,4,CO,13852,166.22
191,2024-11-24,206,1,US,34983,139.93
192,2024-11-22,792,2,AR,17968,17.97
193,2024-06-01,162,1,AR,40925,163.7
194,2025-07-27,527,1,ES,23058,92.23
195,2025-07-16,327,1,CO,18664,74.66
196,2025-08-10,251,1,US,40290,161.16
197,2024-12-12,554,2,BR,2000,2.0
198,2025-04-27,925,3,AR,25239,176.67
199,2024-02-25,89,2,BR,46281,46.28
200,2025-09-02,913,2,CL,45328,45.33
201,2025-12-17,457,3,US,21879,153.15
202,2024-07-21,731,4,CL,35062,420.74
203,2024-03-21,998,5,CL,30619,153.09
204,2025-08-04,135,1,CL,45883,183.53
205,2025-04-24,100,2,CO,42332,42.33
206,2025-12-28,785,2,BR,14766,14.77
207,2024-05-27,882,5,US,23919,119.59
208,2025-02-05,188,3,CO,21748,152.24
209,2026-03-18,882,5,MX,32049,160.25
210,2024-01-31,67,2,US,31468,31.47
211,2025-04-17,867,1,CL,22946,91.78
212,2025-09-10,589,1,AR,26687,106.75
213,2026-01-01,816,1,ES,42662,170.65
214,2024-03-13,812,1,MX,26367,105.47
215,2025-08-27,424,1,BR,36010,144.04
216,2024-06-11,998,2,AR,22429,22.43
217,2024-08-01,834,3,MX,28631,200.42
218,2025-08-03,807,1,CO,15576,62.3
219,2024-06-26,679,3,CO,46755,327.29
220,2025-08-10,857,2,ES,39164,39.16
221,2025-04-19,334,2,CL,29277,29.28
222,2024-06-29,316,5,AR,39307,196.53
223,2024-04-21,702,4,CL,24932,299.18
224,2024-12-01,507,3,AR,6033,42.23
225,2024-08-10,837,1,ES,49578,198.31
226,2025-10-13,830,1,BR,43411,173.64
227,2024-06-01,464,2,MX,40442,40.44
228,2025-08-14,458,1,CO,20848,83.39
229,2024-11-02,584,4,CO,20058,240.7
230,2025-03-21,736,5,US,5951,29.75
231,2025-08-19,9,3,ES,26589,186.12
232,2024-05-10,873,1,US,36071,144.28
233,2024-02-24,1,3,CL,23643,165.5
234,2024-04-22,882,1,AR,15516,62.06
235,2025-03-18,720,2,CO,20948,20.95
236,2025-12-29,392,2,MX,35824,35.82
237,2024-08-04,679,1,BR,12435,49.74
238,2025-07-22,394,4,US,27443,329.32
239,2024-06-06,296,5,CO,8327,41.63
240,2024-05-17,12,1,AR,9536,38.14
241,2026-01-08,907,2,MX,8998,9.0
242,2024-03-27,141,3,MX,29986,209.9
243,2026-03-18,713,3,MX,40945,286.62
244,2024-07-03,466,2,ES,29594,29.59
245,2025-01-28,364,1,MX,39721,158.88
246,2024-01-08,592,2,CO,15615,15.62
247,2025-12-30,514,1,ES,37871,151.48
248,2025-01-10,35,5,ES,31771,158.85
249,2025-12-22,378,1,MX,45352,181.41
250,2024-03-22,146,3,ES,49290,345.03
251,2026-03-08,287,2,AR,34398,34.4
252,2025-09-16,91,1,CO,48707,194.83
253,2025-11-10,984,3,CO,41629,291.4
254,2025-07-06,818,2,ES,3558,3.56
255,2024-12-17,548,4,MX,29855,358.26
256,2025-06-08,928,2,CO,21826,21.83
257,2025-03-07,362,5,CL,19408,97.04
258,2024-10-23,172,1,ES,49214,196.86
259,2024-11-07,745,4,US,4125,49.5
260,2025-10-06,485,2,ES,3482,3.48
261,2025-11-03,299,4,ES,1889,22.67
262,2024-10-20,497,1,ES,5137,20.55
263,2026-03-13,285,1,ES,18513,74.05
264,2024-10-08,879,1,CO,7410,29.64
265,2025-09-10,179,5,CO,10004,50.02
266,2025-11-05,458,2,BR,17221,17.22
267,2026-03-12,718,1,BR,34662,138.65
268,2024-02-03,352,5,BR,39129,195.65
