cancion_id,titulo,artista_id,album,duracion_seg,anio_lanzamiento
1,He Tengo,68,Estuvo Hubo Humano,161,2005
2,Cualquier Pasa,45,Trabajar Alto Derecha,158,2005
3,Hecho,105,Me Origen,360,2009
4,Mirada,60,Estar Primer,264,2022
5,Causa Seguir Sí Flores,19,Humana Visto Unos,239,2008
6,Octubre Organización,109,Corazón,398,2007
7,Aquel Ejército,69,Ir,156,2001
8,Período Conseguir,79,Unas Causa Campo,411,2009
9,Distintas Universidad Hacerlo Entrar,32,Muchas Mantener,275,2022
10,Especial Comenzó Universidad Mejores,70,Tú Dicho Respuesta,396,2015
11,Términos Aire Todas Resultado,21,Internacional Seguir Ministerio,140,2013
12,Ninguna Varios Social,155,Ve Miguel,133,2002
13,Mí Características,173,Había Mayores Ejército,420,2000
14,Local Hubiera Norte,148,Consumo,209,2015
15,Encima Política Buscar Mucho,72,Destino,419,2013
16,Función Zonas Temas Mediante,24,Próximo Cara,298,2013
17,Quedó Dirección Bastante,83,Toda Futuro Septiembre,173,2005
18,Español Realizar Muestra,106,Ocasión Industria Intereses,373,2009
19,Tampoco Trata Formación Peso,195,Tribunal Cuando Bien,138,2014
20,Reunión,81,Tiempos Podría,285,2003
21,Guerra Tanto Imágenes Humano,132,Valores,397,2014
22,Tribunal Sector Acciones Fiscal,14,Hasta,385,2011
23,Voz Hay Ellas Salud,161,Unas Demás,146,2006
24,Acto Fueron Pueden,141,Hubo,267,2014
25,Comercio Quizá San Esfuerzo,32,Algunos,242,2022
26,Sentido Silencio,80,Movimiento Tratamiento Revolución,127,2017
27,Bueno Podría Queda Cada,24,Generales,178,2014
28,Libro,166,Clase,375,2022
29,Dicho Imposible Compañía,131,Cara Manos Premio,259,2013
30,Adelante Forma Música Ellas,121,Nivel,353,2017
31,Flores Tierra,99,Capaz,380,2023
32,Pudo Hora,18,Fuerte Radio,332,2010
33,Mayores Desde Teatro,1,Serie López,272,2018
34,María Atrás Importantes Propia,39,Ayuda Posición,395,2015
35,Viene Valores Amigos,86,Aumento Única Fiscal,398,2012
36,Autor Llegar Primeros Dejar,83,Dejó,242,2018
37,Millones Armas Señor Diferentes,60,Punto Llegado,142,2010
38,Junio Condiciones Carácter Esos,181,Nunca Posibilidades,317,2021
39,Solamente Arriba,127,Nivel,184,2016
40,Humanos Español Mayor,26,Imposible Nacional,171,2016
41,Piel Oro Éxito Paciente,4,Arriba Película Condiciones,193,2013
